Application order,Previous qualification (grade),Admission grade,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Marital status_2,Marital status_4,Marital status_5,Marital status_others,Application mode_17,Application mode_39,Application mode_others,Course_9238,Course_9500,Course_others,Daytime/evening attendance_1,Previous qualification_3,Previous qualification_19,Previous qualification_39,Previous qualification_others,Nacionality_6,Nacionality_26,Nacionality_41,Nacionality_others,Mother's qualification_19,Mother's qualification_37,Mother's qualification_38,Mother's qualification_others,Father's qualification_19,Father's qualification_37,Father's qualification_38,Father's qualification_others,Mother's occupation_4,Mother's occupation_5,Mother's occupation_9,Mother's occupation_others,Father's occupation_5,Father's occupation_7,Father's occupation_9,Father's occupation_others,Displaced_1,Educational special needs_1,Debtor_1,Tuition fees up to date_1,Gender_1,Scholarship holder_1,International_1
1,0.6842105263157894,0.3052631578947369,0.2075471698113207,0.1,0.3076923076923077,0.3333333333333333,0.2692307692307693,0.5827814569536424,0.0,0.0,0.2608695652173913,0.5151515151515151,0.05,0.5384615384615384,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False
2,0.431578947368421,0.3063157894736841,0.0754716981132075,0.0,0.3076923076923077,0.1777777777777777,0.0,0.0,0.6666666666666666,0.0,0.3478260869565217,0.2424242424242424,0.0,0.0,0.6666666666666666,0.2093023255813954,0.0,0.1241743725231175,0,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False
1,0.5789473684210527,0.5789473684210527,0.0943396226415094,0.05,0.2692307692307693,0.2444444444444444,0.1923076923076923,0.6445916114790287,0.0,0.2105263157894736,0.3478260869565217,0.4242424242424242,0.25,0.796923076923077,0.0,0.1511627906976745,0.4888888888888888,1.0,1,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False
1,0.4526315789473685,0.3294736842105263,0.0188679245283018,0.0,0.2307692307692307,0.1555555555555555,0.2307692307692307,0.6799116997792495,0.0833333333333333,0.0,0.2608695652173913,0.2424242424242424,0.3,0.7,0.0,0.1511627906976745,0.4888888888888888,1.0,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False
3,0.3789473684210527,0.2873684210526315,0.0377358490566037,0.0,0.2307692307692307,0.1333333333333333,0.2307692307692307,0.6445916114790287,0.0,0.0,0.2608695652173913,0.1818181818181818,0.0,0.0,0.0,0.9186046511627908,0.7999999999999999,0.0,1,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
1,0.368421052631579,0.2842105263157894,0.1509433962264151,0.15,0.3846153846153846,0.5111111111111112,0.2307692307692307,0.6054872280037843,0.0,0.1052631578947368,0.3043478260869565,0.4545454545454546,0.2,0.6461538461538461,0.0833333333333333,0.9186046511627908,0.7999999999999999,0.0,1,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False
1,0.0526315789473683,0.1578947368421053,0.2452830188679245,0.55,0.5384615384615385,0.5777777777777778,0.4615384615384615,0.6636337460408869,0.0833333333333333,0.5789473684210527,0.6086956521739131,0.7878787878787878,0.6000000000000001,0.6744816053511705,0.0833333333333333,0.0,0.7555555555555555,0.5785997357992074,0,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
3,0.4526315789473685,0.4126315789473682,0.0566037735849056,0.0,0.2307692307692307,0.1333333333333333,0.2307692307692307,0.7947019867549668,0.0,0.0,0.2608695652173913,0.1818181818181818,0.3,0.7,0.0,0.4069767441860464,0.3111111111111111,0.8031704095112285,0,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
1,0.0526315789473683,0.0526315789473683,0.0377358490566037,0.0,0.3076923076923077,0.1777777777777777,0.2692307692307693,0.691844843897824,0.0,0.0,0.3478260869565217,0.2424242424242424,0.35,0.703153846153846,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False
6,0.2842105263157894,0.2273684210526314,0.0566037735849056,0.0,0.2692307692307693,0.1555555555555555,0.2692307692307693,0.7053926206244089,0.0,0.0,0.3478260869565217,0.2424242424242424,0.4,0.6771153846153846,0.0,0.5581395348837211,0.2888888888888888,0.7727873183619551,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False
2,0.4947368421052631,0.4842105263157894,0.0188679245283018,0.0,0.2307692307692307,0.1333333333333333,0.2307692307692307,0.6887417218543046,0.0,0.0,0.2608695652173913,0.2424242424242424,0.05,0.5384615384615384,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False
4,0.3157894736842104,0.2094736842105262,0.0377358490566037,0.0,0.2307692307692307,0.2,0.1923076923076923,0.6039735099337749,0.0,0.0,0.2608695652173913,0.2727272727272727,0.15,0.5384615384615384,0.0,0.1511627906976745,0.4888888888888888,1.0,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,False
1,0.4842105263157894,0.5031578947368422,0.0188679245283018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5581395348837211,0.2888888888888888,0.7727873183619551,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
1,0.368421052631579,0.3473684210526315,0.1886792452830188,0.0,0.1923076923076923,0.1111111111111111,0.0,0.0,0.0,0.0,0.217391304347826,0.2121212121212121,0.0,0.0,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,0,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False
1,0.2421052631578946,0.2494736842105263,0.0377358490566037,0.0,0.2307692307692307,0.1555555555555555,0.2307692307692307,0.6357615894039735,0.0,0.0,0.2608695652173913,0.1818181818181818,0.3,0.7538461538461538,0.0,0.5581395348837211,0.2888888888888888,0.7727873183619551,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False
1,0.2315789473684211,0.1842105263157893,0.0377358490566037,0.15,0.2307692307692307,0.1555555555555555,0.1153846153846153,0.6181015452538631,0.0,0.0526315789473684,0.2608695652173913,0.3939393939393939,0.2,0.5564102564102564,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,0,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False
2,0.4105263157894736,0.4052631578947367,0.0377358490566037,0.0,0.2692307692307693,0.1777777777777777,0.2692307692307693,0.7443708609271523,0.0,0.0,0.3478260869565217,0.2424242424242424,0.4,0.813076923076923,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
1,0.6842105263157894,0.6842105263157894,0.0566037735849056,0.0,0.2307692307692307,0.2,0.2307692307692307,0.7122884473877852,0.0,0.0,0.2608695652173913,0.2727272727272727,0.25,0.6784615384615383,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,0,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False
1,0.5263157894736841,0.2052631578947368,0.1320754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2093023255813954,0.0,0.1241743725231175,0,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False
1,0.3052631578947369,0.2557894736842105,0.0377358490566037,0.0,0.3076923076923077,0.1777777777777777,0.3076923076923077,0.6949006622516557,0.0,0.0,0.3478260869565217,0.2424242424242424,0.4,0.7062596153846153,0.0,0.2093023255813954,0.0,0.1241743725231175,0,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
1,0.4421052631578948,0.2873684210526315,0.0377358490566037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,1,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
1,0.5336842105263155,0.5336842105263155,0.1509433962264151,0.4,0.6153846153846154,0.3555555555555555,0.576923076923077,0.7064017660044151,0.0,0.5789473684210527,0.5652173913043478,0.3939393939393939,0.55,0.6608391608391607,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True
2,0.3157894736842104,0.2052631578947368,0.0188679245283018,0.0,0.2692307692307693,0.2444444444444444,0.2307692307692307,0.6348785871964681,0.0,0.0,0.3478260869565217,0.3636363636363636,0.4,0.6612980769230768,0.0,1.0,0.2444444444444444,0.4147952443857331,0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
1,0.4010526315789473,0.154736842105263,0.2264150943396226,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.217391304347826,0.0,0.0,0.0,0.0,1.0,0.2444444444444444,0.4147952443857331,1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,0.4736842105263157,0.4736842105263157,0.1320754716981132,0.0,0.3076923076923077,0.1777777777777777,0.3076923076923077,0.7091390728476821,0.0,0.0,0.3478260869565217,0.2424242424242424,0.4,0.7207307692307692,0.0,0.2093023255813954,0.0,0.1241743725231175,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False
2,0.2947368421052632,0.2715789473684209,0.0377358490566037,0.0,0.3076923076923077,0.2444444444444444,0.2692307692307693,0.6646736045411542,0.0,0.0,0.3478260869565217,0.3333333333333333,0.35,0.6755384615384615,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False
3,0.4947368421052631,0.3621052631578947,0.0188679245283018,0.0,0.1923076923076923,0.1111111111111111,0.1923076923076923,0.6993377483443708,0.0,0.0,0.217391304347826,0.1818181818181818,0.2,0.673076923076923,0.0,0.2093023255813954,0.0,0.1241743725231175,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
6,0.3578947368421052,0.2842105263157894,0.0377358490566037,0.0,0.1923076923076923,0.1777777777777777,0.1923076923076923,0.614569536423841,0.0833333333333333,0.0,0.217391304347826,0.303030303030303,0.2,0.5788461538461538,0.0,0.2093023255813954,0.0,0.1241743725231175,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False
1,0.6842105263157894,0.0210526315789474,0.3396226415094339,0.0,0.2307692307692307,0.2,0.2307692307692307,0.6004415011037528,0.0,0.0,0.2608695652173913,0.1818181818181818,0.3,0.6102564102564102,0.0,0.9186046511627908,0.7999999999999999,0.0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0.6947368421052631,0.6031578947368421,0.0188679245283018,0.0,0.2307692307692307,0.1555555555555555,0.2307692307692307,0.8249763481551561,0.0,0.0,0.2608695652173913,0.2121212121212121,0.3,0.7923076923076922,0.0,0.4069767441860464,0.3111111111111111,0.8031704095112285,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,0.3368421052631578,0.2705263157894737,0.0943396226415094,0.0,0.2307692307692307,0.2222222222222222,0.1923076923076923,0.5827814569536424,0.0,0.0,0.2608695652173913,0.3636363636363636,0.0,0.0,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,1,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1,0.2736842105263157,0.2736842105263157,0.1132075471698113,0.0,0.2307692307692307,0.3333333333333333,0.0384615384615384,0.6887417218543046,0.0,0.0,0.2608695652173913,0.2424242424242424,0.2,0.6057692307692307,0.0,0.2093023255813954,0.0,0.1241743725231175,0,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False
1,0.3263157894736841,0.0526315789473683,0.1509433962264151,0.1,0.2692307692307693,0.2222222222222222,0.1153846153846153,0.6887417218543046,0.0,0.0526315789473684,0.3478260869565217,0.303030303030303,0.15,0.6282051282051281,0.3333333333333333,0.372093023255814,0.4888888888888888,0.7661822985468957,0,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
3,0.4010526315789473,0.4189473684210527,0.0188679245283018,0.0,0.2307692307692307,0.2666666666666666,0.0,0.0,0.0,0.0,0.2608695652173913,0.3636363636363636,0.0,0.0,0.0,0.0,0.7555555555555555,0.5785997357992074,1,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False
1,0.2842105263157894,0.2294736842105262,0.0188679245283018,0.0,0.2307692307692307,0.1333333333333333,0.2307692307692307,0.6181015452538631,0.0,0.0,0.2608695652173913,0.1818181818181818,0.3,0.6641025641025641,0.0,1.0,0.2444444444444444,0.4147952443857331,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False
1,0.5789473684210527,0.5789473684210527,0.3962264150943396,0.0,0.1923076923076923,0.1333333333333333,0.0,0.0,0.0,0.0,0.217391304347826,0.1515151515151515,0.0,0.0,0.0,0.9186046511627908,0.7999999999999999,0.0,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False
1,0.3578947368421052,0.1789473684210525,0.0943396226415094,0.25,0.3461538461538461,0.2,0.1923076923076923,0.5933774834437086,0.0,0.2631578947368421,0.3913043478260869,0.4242424242424242,0.35,0.6057692307692307,0.1666666666666666,0.5930232558139535,1.0,0.3117569352708058,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False
1,0.4010526315789473,0.4326315789473682,0.4716981132075471,0.0,0.1923076923076923,0.3111111111111111,0.0384615384615384,0.5298013245033113,0.0,0.0,0.217391304347826,0.4242424242424242,0.05,0.5923076923076923,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False
1,0.5789473684210527,0.5789473684210527,0.1509433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9186046511627908,0.7999999999999999,0.0,0,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
1,0.3157894736842104,0.2789473684210526,0.0377358490566037,0.0,0.2307692307692307,0.2,0.2307692307692307,0.575212866603595,0.0,0.0,0.2608695652173913,0.2121212121212121,0.3,0.6282051282051281,0.0,0.5581395348837211,0.2888888888888888,0.7727873183619551,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
2,0.168421052631579,0.1652631578947367,0.0377358490566037,0.0,0.2307692307692307,0.2,0.2307692307692307,0.6445916114790287,0.0,0.0,0.2608695652173913,0.2727272727272727,0.3,0.5923076923076923,0.0,0.1511627906976745,0.4888888888888888,1.0,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
1,0.5789473684210527,0.5789473684210527,0.0566037735849056,0.1,0.2307692307692307,0.1555555555555555,0.2307692307692307,0.7064017660044151,0.0,0.0526315789473684,0.2608695652173913,0.4848484848484848,0.25,0.7201923076923077,0.0,0.5581395348837211,0.2888888888888888,0.7727873183619551,0,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
3,0.3473684210526315,0.3073684210526315,0.0754716981132075,0.0,0.1923076923076923,0.1777777777777777,0.0769230769230769,0.609271523178808,0.0,0.0,0.217391304347826,0.2121212121212121,0.1,0.5653846153846154,0.0,0.0,0.7555555555555555,0.5785997357992074,1,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,0.3999999999999999,0.4147368421052633,0.0566037735849056,0.0,0.2307692307692307,0.1333333333333333,0.2307692307692307,0.6445916114790287,0.0,0.0,0.2608695652173913,0.2424242424242424,0.2,0.6865384615384615,0.0,0.2093023255813954,0.0,0.1241743725231175,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,False
1,0.3368421052631578,0.3147368421052632,0.2264150943396226,0.0,0.1923076923076923,0.2222222222222222,0.1923076923076923,0.7190160832544938,0.0,0.0,0.217391304347826,0.4242424242424242,0.25,0.6641025641025641,0.25,1.0,0.2444444444444444,0.4147952443857331,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,0.4736842105263157,0.1999999999999999,0.2075471698113207,0.0,0.2307692307692307,0.2444444444444444,0.0384615384615384,0.6887417218543046,0.0,0.0,0.2608695652173913,0.3636363636363636,0.0,0.0,0.0,0.2093023255813954,0.0,0.1241743725231175,1,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
1,0.5789473684210527,0.5821052631578949,0.0754716981132075,0.35,0.4230769230769231,0.3333333333333333,0.3461538461538461,0.7534952170713759,0.0,0.2105263157894736,0.3913043478260869,0.4545454545454546,0.35,0.7403846153846153,0.0,0.1511627906976745,0.4888888888888888,1.0,0,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False
